"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"37417_at","POU class 2 homeobox 2","POU2F2","5452","","","","Human lymphoid-specific transcription factor mRNA, complete cds",339495,"M36542",NA,NA,"","19q13.2","Chromosome 19, NC_000019.10 (42086110..42197931, complement)","RNA polymerase II core promoter proximal region sequence-specific DNA binding///protein domain specific binding///sequence-specific DNA binding///transcription factor activity, sequence-specific DNA binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding","cell maturation///humoral immune response///immunoglobulin secretion involved in immune response///mature B cell differentiation///positive regulation of transcription from RNA polymerase II promoter///snRNA transcription from RNA polymerase II promoter///transcription from RNA polymerase II promoter","cytoplasm///nucleoplasm///nucleus","GO:0000978///GO:0019904///GO:0043565///GO:0003700///GO:0001077","GO:0048469///GO:0006959///GO:0002380///GO:0002335///GO:0045944///GO:0042795///GO:0006366","GO:0005737///GO:0005654///GO:0005634",-3.11521896749112,6.25393222588937,-11.9710835130734,9.13698652658779e-07,0.000934310928453753,6.23662123925065
"40850_at","FK506 binding protein 8","FKBP8","23770","","","","Human FK-506 binding protein homologue (FKBP38) mRNA, complete cds",965469,"L37033",NA,NA,"","19p12","Chromosome 19, NC_000019.10 (18531752..18544077, complement)","FK506 binding///identical protein binding///metal ion binding///peptidyl-prolyl cis-trans isomerase activity///protein binding","apoptotic process///camera-type eye development///cell fate specification///chaperone-mediated protein folding///dorsal/ventral neural tube patterning///intracellular signal transduction///multicellular organism growth///negative regulation of apoptotic process///positive regulation of BMP signaling pathway///protein peptidyl-prolyl isomerization///smoothened signaling pathway///viral process","endoplasmic reticulum membrane///integral component of endoplasmic reticulum membrane///membrane///mitochondrial membrane","GO:0005528///GO:0042802///GO:0046872///GO:0003755///GO:0005515","GO:0006915///GO:0043010///GO:0001708///GO:0061077///GO:0021904///GO:0035556///GO:0035264///GO:0043066///GO:0030513///GO:0000413///GO:0007224///GO:0016032","GO:0005789///GO:0030176///GO:0016020///GO:0031966",-4.91131491471414,5.4486383731517,-11.9418338979564,9.32623902192996e-07,0.000934310928453753,6.21867822184951
"41096_at","S100 calcium binding protein A8","S100A8","6279","","","","",NA,"",NA,NA,"","1q21","Chromosome 1, NC_000001.11 (153390032..153422583, complement)","RAGE receptor binding///Toll-like receptor 4 binding///arachidonic acid binding///calcium ion binding///microtubule binding///protein binding///zinc ion binding","activation of cysteine-type endopeptidase activity involved in apoptotic process///acute inflammatory response///apoptotic process///astrocyte development///autophagy///chemokine production///chronic inflammatory response///cytokine production///defense response to bacterium///defense response to fungus///inflammatory response///innate immune response///leukocyte migration involved in inflammatory response///neutrophil aggregation///neutrophil chemotaxis///peptidyl-cysteine S-nitrosylation///positive regulation of NF-kappaB transcription factor activity///positive regulation of cell growth///positive regulation of inflammatory response///positive regulation of intrinsic apoptotic signaling pathway///positive regulation of peptide secretion///regulation of cytoskeleton organization///response to ethanol///response to lipopolysaccharide///response to zinc ion///sequestering of zinc ion///wound healing","cytoskeleton///cytosol///extracellular exosome///extracellular region///extracellular space///nucleus///plasma membrane","GO:0050786///GO:0035662///GO:0050544///GO:0005509///GO:0008017///GO:0005515///GO:0008270","GO:0006919///GO:0002526///GO:0006915///GO:0014002///GO:0006914///GO:0032602///GO:0002544///GO:0001816///GO:0042742///GO:0050832///GO:0006954///GO:0045087///GO:0002523///GO:0070488///GO:0030593///GO:0018119///GO:0051092///GO:0030307///GO:0050729///GO:2001244///GO:0002793///GO:0051493///GO:0045471///GO:0032496///GO:0010043///GO:0032119///GO:0042060","GO:0005856///GO:0005829///GO:0070062///GO:0005576///GO:0005615///GO:0005634///GO:0005886",3.55984923235947,11.5373181189072,11.8976164311551,9.62062738209805e-07,0.000934310928453753,6.19144652083081
"36582_g_at","glycyl-tRNA synthetase","GARS","2617","","","","Human glycyl-tRNA synthetase mRNA, complete cds",595304,"U09510",NA,NA,"","7p15","Chromosome 7, NC_000007.14 (30594735..30634033)","ATP binding///bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity///glycine-tRNA ligase activity///glycine-tRNA ligase activity///protein dimerization activity","diadenosine tetraphosphate biosynthetic process///glycyl-tRNA aminoacylation///tRNA aminoacylation for protein translation","axon///cytoplasm///cytosol///extracellular exosome///mitochondrial matrix///nucleoplasm///secretory granule","GO:0005524///GO:0004081///GO:0004820///GO:0004820///GO:0046983","GO:0015966///GO:0006426///GO:0006418","GO:0030424///GO:0005737///GO:0005829///GO:0070062///GO:0005759///GO:0005654///GO:0030141",2.61228686188505,9.69919845279673,11.1012247773803,1.71498466820642e-06,0.00153255067454581,5.67809557984782
"34435_at","aquaporin 9","AQP9","366","","","","Homo sapiens AQP9 mRNA for aquaporin 9, complete cds",2887406,"AB008775",NA,NA,"","15q","Chromosome 15, NC_000015.10 (58138169..58185911)","amine transmembrane transporter activity///carboxylic acid transmembrane transporter activity///glycerol channel activity///glycerol channel activity///polyol transmembrane transporter activity///porin activity///purine nucleobase transmembrane transporter activity///pyrimidine nucleobase transmembrane transporter activity///urea channel activity///urea transmembrane transporter activity///water channel activity///water channel activity///water transmembrane transporter activity","amine transport///canalicular bile acid transport///carboxylic acid transmembrane transport///carboxylic acid transport///cellular response to cAMP///cellular water homeostasis///excretion///glycerol transport///immune response///metabolic process///polyol transport///purine nucleobase transmembrane transport///purine nucleobase transport///pyrimidine nucleobase transport///pyrimidine-containing compound transmembrane transport///response to mercury ion///response to organic substance///response to osmotic stress///transport///urea transmembrane transport///water homeostasis///water transport///water transport","basolateral plasma membrane///integral component of membrane///integral component of plasma membrane///intracellular membrane-bounded organelle///plasma membrane","GO:0005275///GO:0046943///GO:0015254///GO:0015254///GO:0015166///GO:0015288///GO:0005345///GO:0005350///GO:0015265///GO:0015204///GO:0015250///GO:0015250///GO:0005372","GO:0015837///GO:0015722///GO:1905039///GO:0046942///GO:0071320///GO:0009992///GO:0007588///GO:0015793///GO:0006955///GO:0008152///GO:0015791///GO:1904823///GO:0006863///GO:0015855///GO:0072531///GO:0046689///GO:0010033///GO:0006970///GO:0006810///GO:0071918///GO:0030104///GO:0006833///GO:0006833","GO:0016323///GO:0016021///GO:0005887///GO:0043231///GO:0005886",4.86649506755541,9.09282289307006,11.0214600494007,1.82085228658909e-06,0.00153255067454581,5.62418803201712
"1184_at","microRNA 7703///proteasome activator subunit 2","MIR7703///PSME2","102465801///5721","","","","Homo sapiens mRNA for proteasome activator hPA28 suunit beta, complete cds",1008914,"D45248",NA,NA,"","14q11.2","Chromosome 14, NC_000014.9 (24143489..24143565, complement)///Chromosome 14, NC_000014.9 (24143365..24147316, complement)","endopeptidase activator activity","Fc-epsilon receptor signaling pathway///MAPK cascade///NIK/NF-kappaB signaling///T cell receptor signaling pathway///Wnt signaling pathway, planar cell polarity pathway///anaphase-promoting complex-dependent catabolic process///antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent///negative regulation of canonical Wnt signaling pathway///negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle///positive regulation of canonical Wnt signaling pathway///positive regulation of endopeptidase activity///positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition///proteasome-mediated ubiquitin-dependent protein catabolic process///protein polyubiquitination///regulation of G1/S transition of mitotic cell cycle///regulation of cellular amino acid metabolic process///regulation of mRNA stability///regulation of proteasomal protein catabolic process///stimulatory C-type lectin receptor signaling pathway///tumor necrosis factor-mediated signaling pathway","cytoplasm///cytosol///extracellular exosome///membrane///nucleoplasm///proteasome activator complex///proteasome complex","GO:0061133","GO:0038095///GO:0000165///GO:0038061///GO:0050852///GO:0060071///GO:0031145///GO:0002479///GO:0090090///GO:0051436///GO:0090263///GO:0010950///GO:0051437///GO:0043161///GO:0000209///GO:2000045///GO:0006521///GO:0043488///GO:0061136///GO:0002223///GO:0033209","GO:0005737///GO:0005829///GO:0070062///GO:0016020///GO:0005654///GO:0008537///GO:0000502",2.7818277757651,10.69793630182,10.9118432966581,1.97831680719498e-06,0.00155609304510944,5.54933144992998
"39807_at","minichromosome maintenance 9 homologous recombination repair factor","MCM9","254394","","","","",NA,"",NA,NA,"","6q22.31","Chromosome 6, NC_000006.12 (118813449..118935162, complement)","ATP binding///DNA binding///helicase activity","DNA replication///cellular response to DNA damage stimulus///double-strand break repair via homologous recombination///female gamete generation","MCM8-MCM9 complex///nucleus","GO:0005524///GO:0003677///GO:0004386","GO:0006260///GO:0006974///GO:0000724///GO:0007292","GO:0097362///GO:0005634",3.67416399256056,3.97487463898535,10.8364559683655,2.09533320925627e-06,0.00155609304510944,5.49732345345664
"37013_at","angiotensin I converting enzyme","ACE","1636","","","","Human testicular angiotensin converting enzyme mRNA, complete cds",338666,"M26657",NA,NA,"","17q23.3","Chromosome 17, NC_000017.11 (63477061..63498380)","bradykinin receptor binding///carboxypeptidase activity///chloride ion binding///drug binding///endopeptidase activity///exopeptidase activity///metallodipeptidase activity///metallopeptidase activity///metallopeptidase activity///mitogen-activated protein kinase binding///mitogen-activated protein kinase kinase binding///peptidyl-dipeptidase activity///peptidyl-dipeptidase activity///tripeptidyl-peptidase activity///zinc ion binding","angiotensin catabolic process in blood///angiotensin maturation///antigen processing and presentation of peptide antigen via MHC class I///arachidonic acid secretion///beta-amyloid metabolic process///blood vessel remodeling///cell proliferation in bone marrow///heart contraction///hematopoietic stem cell differentiation///hormone catabolic process///hormone catabolic process///kidney development///mononuclear cell proliferation///negative regulation of gap junction assembly///neutrophil mediated immunity///peptide catabolic process///positive regulation of peptidyl-cysteine S-nitrosylation///positive regulation of peptidyl-tyrosine autophosphorylation///positive regulation of protein tyrosine kinase activity///regulation of angiotensin metabolic process///regulation of blood pressure///regulation of hematopoietic stem cell proliferation///regulation of hematopoietic stem cell proliferation///regulation of renal output by angiotensin///regulation of smooth muscle cell migration///regulation of systemic arterial blood pressure by renin-angiotensin///regulation of systemic arterial blood pressure by renin-angiotensin///regulation of vasoconstriction///regulation of vasodilation///spermatogenesis","endosome///external side of plasma membrane///extracellular exosome///extracellular region///extracellular space///integral component of membrane///lysosome///plasma membrane///plasma membrane","GO:0031711///GO:0004180///GO:0031404///GO:0008144///GO:0004175///GO:0008238///GO:0070573///GO:0008237///GO:0008237///GO:0051019///GO:0031434///GO:0008241///GO:0008241///GO:0008240///GO:0008270","GO:0002005///GO:0002003///GO:0002474///GO:0050482///GO:0050435///GO:0001974///GO:0071838///GO:0060047///GO:0060218///GO:0042447///GO:0042447///GO:0001822///GO:0032943///GO:1903597///GO:0002446///GO:0043171///GO:2000170///GO:1900086///GO:0061098///GO:0060177///GO:0008217///GO:1902033///GO:1902033///GO:0002019///GO:0014910///GO:0003081///GO:0003081///GO:0019229///GO:0042312///GO:0007283","GO:0005768///GO:0009897///GO:0070062///GO:0005576///GO:0005615///GO:0016021///GO:0005764///GO:0005886///GO:0005886",-3.45758107507642,5.0624594651396,-10.7165596215266,2.29751961171056e-06,0.0016114547276581,5.41371328146467
"36151_at","phospholipase D family member 3","PLD3","23646","","","","Human HU-K4 mRNA, complete cds",1575346,"U60644",NA,NA,"","19q13.2","Chromosome 19, NC_000019.10 (40348395..40378490)","N-acylphosphatidylethanolamine-specific phospholipase D activity///phospholipase D activity///protein binding","lipid catabolic process","endoplasmic reticulum membrane///extracellular exosome///integral component of membrane","GO:0070290///GO:0004630///GO:0005515","GO:0016042","GO:0005789///GO:0070062///GO:0016021",-5.31060483395572,8.38346251170287,-10.4854771558406,2.75090826881728e-06,0.00177734393735956,5.24939946168291
"41678_at","EPH receptor B2","EPHB2","2048","","","","Homo sapiens protein-tyrosine kinase EPHB2v (EPHB2) mRNA, complete cds",2739055,"AF025304",NA,NA,"","1p36.1-p35","Chromosome 1, NC_000001.11 (22710770..22921500)","ATP binding///axon guidance receptor activity///identical protein binding///protein binding///protein tyrosine kinase activity///receptor binding///transmembrane-ephrin receptor activity///transmembrane-ephrin receptor activity","angiogenesis///axon guidance///axonal fasciculation///camera-type eye morphogenesis///central nervous system projection neuron axonogenesis///commissural neuron axon guidance///corpus callosum development///dendritic spine development///dendritic spine morphogenesis///ephrin receptor signaling pathway///ephrin receptor signaling pathway///inner ear morphogenesis///learning///negative regulation of axonogenesis///nervous system development///optic nerve morphogenesis///palate development///peptidyl-tyrosine phosphorylation///phosphorylation///positive regulation of long-term neuronal synaptic plasticity///positive regulation of synapse assembly///regulation of body fluid levels///retinal ganglion cell axon guidance///urogenital system development","axon///cytosol///dendrite///extracellular region///integral component of plasma membrane///neuronal cell body///plasma membrane","GO:0005524///GO:0008046///GO:0042802///GO:0005515///GO:0004713///GO:0005102///GO:0005005///GO:0005005","GO:0001525///GO:0007411///GO:0007413///GO:0048593///GO:0021952///GO:0071679///GO:0022038///GO:0060996///GO:0060997///GO:0048013///GO:0048013///GO:0042472///GO:0007612///GO:0050771///GO:0007399///GO:0021631///GO:0060021///GO:0018108///GO:0016310///GO:0048170///GO:0051965///GO:0050878///GO:0031290///GO:0001655","GO:0030424///GO:0005829///GO:0030425///GO:0005576///GO:0005887///GO:0043025///GO:0005886",-2.50287439635208,7.64198858360406,-10.4559728025201,2.81559435621316e-06,0.00177734393735956,5.22811439956579
"40237_at","pleckstrin homology like domain family A member 2","PHLDA2","7262","","","","Homo sapiens p17-Beckwith-Wiedemann region 1 C (BWR1C) mRNA, complete cds",2661087,"AF035444",NA,NA,"","11p15.4","Chromosome 11, NC_000011.10 (2928273..2929420, complement)","","apoptotic process///organ morphogenesis///placenta development///regulation of cell migration///regulation of embryonic development///regulation of gene expression///regulation of glycogen metabolic process","cytoplasm///membrane","","GO:0006915///GO:0009887///GO:0001890///GO:0030334///GO:0045995///GO:0010468///GO:0070873","GO:0005737///GO:0016020",3.1941054474648,5.95940533990955,10.2826627626444,3.23120198844363e-06,0.00194256786210004,5.10165879047307
"40661_at","nuclear receptor subfamily 4 group A member 3","NR4A3","8013","","","","CHN=steroid/thyroid orphan receptor homolog gene [human, fetal brain, mRNA Partial, 2714 nt]",1311504,"S81243",NA,NA,"","9q22","Chromosome 9, NC_000009.12 (99821855..99866893)","DNA binding///RNA polymerase II core promoter proximal region sequence-specific DNA binding///core promoter sequence-specific DNA binding///glucocorticoid receptor binding///histone acetyltransferase binding///protein binding///protein homodimerization activity///protein kinase binding///steroid hormone receptor activity///thyroid hormone receptor activity///transcription coactivator binding///transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding///zinc ion binding","adult behavior///axon guidance///biological_process///cellular respiration///cellular response to catecholamine stimulus///cellular response to corticotropin-releasing hormone stimulus///cellular response to leptin stimulus///common myeloid progenitor cell proliferation///energy homeostasis///fat cell differentiation///gastrulation///hippocampus development///intracellular receptor signaling pathway///mast cell degranulation///mesoderm formation///negative regulation of hydrogen peroxide-induced neuron death///negative regulation of neuron apoptotic process///negative regulation of transcription from RNA polymerase II promoter///neuromuscular process controlling balance///organ regeneration///positive regulation of cardiac muscle hypertrophy///positive regulation of cell cycle///positive regulation of epithelial cell proliferation///positive regulation of fatty acid oxidation///positive regulation of feeding behavior///positive regulation of glucose transport///positive regulation of leukocyte apoptotic process///positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway///positive regulation of mast cell cytokine production///positive regulation of monocyte aggregation///positive regulation of smooth muscle cell proliferation///positive regulation of transcription from RNA polymerase II promoter///pyruvate oxidation///regulation of energy homeostasis///regulation of smooth muscle cell proliferation///regulation of type B pancreatic cell proliferation///response to hydrogen peroxide///semicircular canal morphogenesis///steroid hormone mediated signaling pathway///transcription initiation from RNA polymerase II promoter///vestibular reflex","mast cell granule///nucleoplasm///nucleus///transcription factor complex","GO:0003677///GO:0000978///GO:0001046///GO:0035259///GO:0035035///GO:0005515///GO:0042803///GO:0019901///GO:0003707///GO:0004887///GO:0001223///GO:0001077///GO:0008270","GO:0030534///GO:0007411///GO:0008150///GO:0045333///GO:0071870///GO:0071376///GO:0044320///GO:0035726///GO:0097009///GO:0045444///GO:0007369///GO:0021766///GO:0030522///GO:0043303///GO:0001707///GO:1903208///GO:0043524///GO:0000122///GO:0050885///GO:0031100///GO:0010613///GO:0045787///GO:0050679///GO:0046321///GO:2000253///GO:0010828///GO:2000108///GO:0038097///GO:0032765///GO:1900625///GO:0048661///GO:0045944///GO:0009444///GO:2000505///GO:0048660///GO:0061469///GO:0042542///GO:0048752///GO:0043401///GO:0006367///GO:0060005","GO:0042629///GO:0005654///GO:0005634///GO:0005667",4.11579824561703,6.57156760833453,9.72980621904471,5.08229185440575e-06,0.00255135397284029,4.68138385498314
"2092_s_at","secreted phosphoprotein 1","SPP1","6696","","","","Human osteopontin mRNA, complete cds",189404,"J04765",NA,NA,"","4q22.1","Chromosome 4, NC_000004.12 (87975650..87983411)","cytokine activity///extracellular matrix binding///protein binding","biomineral tissue development///cell adhesion///decidualization///embryo implantation///extracellular matrix disassembly///extracellular matrix organization///inflammatory response///negative regulation of collateral sprouting of intact axon in response to injury///osteoblast differentiation///positive regulation of bone resorption///response to steroid hormone///response to vitamin D","cell projection///extracellular exosome///extracellular region///extracellular space///perinuclear region of cytoplasm","GO:0005125///GO:0050840///GO:0005515","GO:0031214///GO:0007155///GO:0046697///GO:0007566///GO:0022617///GO:0030198///GO:0006954///GO:0048685///GO:0001649///GO:0045780///GO:0048545///GO:0033280","GO:0042995///GO:0070062///GO:0005576///GO:0005615///GO:0048471",2.44405819767259,12.9032458829016,9.70358317602805,5.19545104008946e-06,0.00255135397284029,4.6607876605344
